Sr_No,District,Nullah_Name,Exposed_Families
1,Neelum,Barrian Leswa,195
2,Neelum,Jagran/Kundal Shahi,195
3,Neelum,Ashkkot,195
4,Neelum,Negdar,195
5,Neelum,Lowat,195
6,Neelum,Dowarian,195
7,Neelum,Dudhinyal/Tehjean,195
8,Neelum,Surgan,195
9,Neelum,Shounther-Kel,195
10,Neelum,"UC Gurais (Janwai, Phulwai, Marnat & Tao But)",195
11,Muzaffarabad,Gojra,281
12,Muzaffarabad,Mohri,281
13,Muzaffarabad,Chehlla,281
14,Muzaffarabad,Muzaffarabad,281
15,Muzaffarabad,Gulshan Peer Ala ud din,281
16,Muzaffarabad,Tariqabad,281
17,Jhelum Valley,Karli,220
18,Jhelum Valley,Qazi Naag,220
19,Jhelum Valley,Lamnian-Reshian,220
20,Jhelum Valley,Nardagian-Khatarnar,220
21,Jhelum Valley,Nokot,220
22,Jhelum Valley,Khalana,220
23,Bagh,Mahal,500
24,Bagh,Malwani,500
25,Bagh,Huda Bari,500
26,Haveli,Tungari,146
27,Haveli,Degwar,146
28,Haveli,Budhal Shreef,146
29,Haveli,Gugdar,146
30,Haveli,Shiban,146
31,Haveli,Faita Pur,146
32,Haveli,Hydal Power Water Channal,146
33,Haveli,Aliabad,146
34,Haveli,Qaidabad,146
35,Haveli,Hundi Khattana Hellan,146
36,Haveli,Bahi Kasi Kahuta City,146
37,Poonch,Tangyraan,52
38,Poonch,Main Pull Abbaspur,52
39,Poonch,Dharayaan,52
40,Sudhnoti,Barian,0
41,Sudhnoti,Atwal Bairtan,0
42,Sudhnoti,Sair-hanjalkot,0
43,Sudhnoti,Trarkhal Bazar,0
44,Kotli,Near Sher Shah Darbar,0
45,Kotli,Khud Kuss,0
46,Kotli,Ashkyali Nallah,0
47,Kotli,Masjid Aqsa Nallah,0
48,Kotli,Dhance Nallah,0
49,Kotli,Sehrmandi Nalah,0
50,Kotli,Islamabad Nalah,0
51,Kotli,Channi Fitrilah Nalah,0
52,Kotli,Kharavat Nalah,0
53,Kotli,"Dalyoot, Karautoot Nalah",0
54,Kotli,Chatran Sehnsa Nalah,0
55,Kotli,Trala Nalah,0
56,Kotli,Atkora Nalah,0
57,Kotli,Tebrair Nalah,0
58,Kotli,Khandhar Nalah,0
59,Kotli,Majhan Nalah,0
60,Kotli,Palani Nalah,0
61,Kotli,Mithrani Nalah,0
62,Kotli,Dabsi Nalah,0
63,Kotli,Dharooti Nalah,0
64,Kotli,Jandroot Nalah,0
65,Kotli,Mera Nalah,0
66,Kotli,Gulpur Nallas,0
67,Kotli,Nullah Butt Fire,0
68,Kotli,Nullah Darbar Mayee Toti,0
69,Kotli,Nullah Ban Samlar,0
70,Kotli,Nullah Ban Buttle,0
71,Kotli,Nail Dhanna,0
72,Kotli,Nullah Ban Behyal,0
73,Kotli,Nullah Ban Seur,0
74,Kotli,Nullah Ban Fetehpur Dehari,0
75,Kotli,Nullah Ban Manjwal,0
76,Kotli,Nail Kotla,0
77,Kotli,Nullah Ban Khore Gher,0
78,Kotli,Nullah Ban Kotera,0
79,Kotli,Nullah Khada,0
80,Kotli,Nullah Sohana,0
81,Kotli,Nullah Dhara,0
82,Kotli,Tain Cuss,0
83,Kotli,Ban Kanthe,0
84,Kotli,Nullah Pratti,0
85,Kotli,Seri Ban,0
86,Kotli,Khanpur Ban,0
87,Kotli,Nullah Kahota,0
88,Kotli,Dowak Jarahi,0
89,Kotli,Kund Dullyah Jattan,0
90,Kotli,Shekass,0
91,Mirpur,Samwal to Suniyan,266
92,Mirpur,Samwal to Chabriya Ditta,266
93,Mirpur,Chabriya to Pindi Subriwal,266
94,Mirpur,Pindi Subriwal to Merri,266
95,Mirpur,Saangh to Nakka,266
96,Mirpur,Mohra Khu,266
97,Mirpur,Bangdwara,266
98,Mirpur,Deengal,266
99,Mirpur,Raipur,266
100,Mirpur,Palai More,266
101,Mirpur,Bazar Nullah,266
102,Mirpur,Potha Bensi,266
103,Bhimber,"Bhimber Nullah, City",352
104,Bhimber,Radyam Nullah,352
