Balochistan ,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Primary,Middle,High,High Sec,Inter Clgs,Deg Clgs,Hospitals,Dispensaries,TB Clinics,RHCs,BHUs,MCH ,Total.1,Black Top,Shingle
Awaran,Population,91640,87318,178958,29510,6.06431718061674,6.4,1.4488715519643354,8.676511563109502,1.0755084981889105,34.5555865143494,54.24352187238785,17945.0,302,36,40,5,3,0,1,13,1,2,7,1,25,550.15,1282.0
Barkhan,Population,109624,100617,210241,3514,59.8318155947638,9.1,0.9971993550029704,4.192480692523127,13.816515318679453,14.966477128065858,66.02732750572859,23566.0,589,42,24,6,2,0,1,9,0,0,10,2,22,637.0,334.0
Chagai,Population,139927,129265,269192,44748,6.015732546705998,7.0,1.0273752012882447,3.136876006441224,1.64573268921095,5.6199677938808374,88.57004830917874,31050.0,248,36,25,8,2,1,2,11,0,4,20,4,41,1291.43,1161.84
Dera Bugti,Population,194591,160683,355274,10160,34.967913385826776,5.7,0.6953285672314171,10.116540985212026,6.904318871804916,25.717363627460582,56.56644794829106,40844.0,320,40,38,4,4,1,2,25,0,1,36,3,67,694.13,602.0
Gwadar,Population,160775,144385,305160,12637,24.14813642478436,6.0,4.12824129326245,46.34913746338288,8.058478897689053,17.37821416946946,24.08592817619616,36868.0,226,45,37,4,4,1,1,14,1,4,23,3,46,539.89,934.0
Harnai,Population,67366,60205,127571,2492,51.1922150882825,7.7,1.5333521763708309,7.596099491237988,2.4731486715658564,9.84313171283211,78.55426794799321,14152.0,161,25,18,3,1,1,1,6,0,1,8,1,17,2111.52,21.0
Jaffarabad,Population,301381,293177,594558,1643,361.87340231284236,7.2,1.1816192560175054,30.740003978516015,7.338372786950467,10.306345733041576,50.43365824547444,50270.0,521,52,34,3,1,1,3,20,1,2,18,3,47,1160.43,99.0
Jhal Magsi,Population,103435,99933,203368,3615,56.25670816044261,6.5,0.39588281868566905,2.383631287244239,0.5292328207692628,7.963495436929616,88.72775763637121,23997.0,265,35,24,2,2,0,1,11,0,3,14,2,31,1167.45,280.0
Kachhi,Population,233618,209056,442674,5682,77.90813093980992,8.8,0.6537249045959848,7.755102040816326,1.1050273768043803,8.724074995852,81.7620706819313,30135.0,411,37,37,5,4,1,3,19,0,5,13,3,43,1075.43,1286.0
Kalat,Population,138618,132942,271560,7654,35.47948784949046,8.2,1.5580512496045555,1.7458873774122112,0.6722556153116103,7.517399557102183,88.50640620056944,50576.0,303,40,45,3,5,1,1,10,0,4,23,3,41,649.83,1552.7
Kech,Population,555342,505589,1060931,22539,47.07089933005013,4.1,6.461202087592006,11.999161369065002,2.099572447978675,25.158928049958444,54.28113604540587,133551.0,529,88,83,16,3,2,1,40,0,16,37,4,98,1307.53,1326.0
Kharan,Population,139706,120646,260352,14958,17.405535499398315,7.2,0.78719723183391,1.3538062283737025,5.679065743944637,6.107266435986159,86.07266435986159,23120.0,202,46,23,8,2,1,1,5,0,2,23,2,33,1559.63,1514.0
Khuzdar,Population,537347,459867,997214,35380,28.185811192764273,6.1,2.88968879573518,2.7621087164532736,3.1557843896660134,11.02018499111496,80.17223310703058,109735.0,664,90,54,8,4,2,4,30,1,6,44,1,86,1096.53,1065.0
Killa Abdullah,Population,189188,172783,361971,3553,101.87756825218126,5.3,2.4125611961363735,6.150487363824814,0.747585233537688,10.686719887090371,80.00264631941076,90692.0,325,32,28,3,5,1,1,12,1,8,40,2,64,854.93,947.0
Killa Saifullah,Population,199075,181125,380200,6831,55.65802957107305,5.4,1.8802595675402995,2.9763133154479373,4.384214991630552,13.487422897892733,77.27178922748848,43611.0,573,51,37,3,3,2,2,12,0,7,14,2,37,229.49,1192.0
Kohlu,Population,136259,123961,260220,7610,34.19448094612352,6.8,0.9133408362912302,2.0993853346030646,3.9303956367414075,33.60747987187256,59.44939832049173,23102.0,424,45,26,5,2,0,1,30,0,3,53,1,88,1670.31,1232.0
Lasbela,Population,348865,332112,680977,15153,44.94007787236851,5.8,7.049608355091384,31.27133962643101,2.5406708174332193,15.491313516770436,43.64706768427395,79664.0,555,74,39,9,2,2,3,27,0,4,45,4,83,987.15,602.0
Loralai,Population,142791,129641,272432,3785,71.976750330251,7.1,2.5577518456775423,3.7151702786377707,1.2098118599666587,10.645391759942843,81.87187425577518,41990.0,344,39,27,2,1,2,1,15,1,3,19,2,41,1313.33,307.0
Mastung,Population,166682,146589,313271,3308,94.70102781136639,7.1,1.9665741451603378,3.7855075887320617,0.6525719010216736,9.502155554243194,84.09319081084273,33866.0,319,54,37,3,3,2,2,6,0,5,26,2,41,233.18,306.0
Musakhel,Population,96709,85566,182275,5728,31.821752793296092,5.8,1.8499054025646415,3.514820264872819,35.139793987807444,11.14988438091234,48.34559596384276,23785.0,287,32,22,3,4,1,1,14,0,1,22,2,40,1439.74,252.0
Nasirabad,Population,287920,275395,563315,3387,166.31679952760555,6.4,1.0474922325787839,13.615179760319574,1.4558366622281402,12.407900577008434,71.47359076786506,45060.0,536,48,35,5,2,3,1,9,0,4,17,3,34,509.33,1492.0
Nushki,Population,108276,99558,207834,5797,35.85199240986717,6.6,2.7145146408973924,9.605205652406157,1.442237653571602,6.3176807653086,79.92036128781625,20593.0,186,47,36,5,0,2,1,12,0,4,14,2,33,1524.67,648.0
Panjgur,Population,269467,240314,509781,16891,30.180628737197324,4.3,4.3201150113813345,5.470228824727447,1.2172037857913023,17.222954354858032,71.76949802324188,41735.0,337,48,38,7,2,2,2,11,1,6,30,4,54,2256.62,402.07
Pishin,Population,426620,408862,835482,6218,134.36506915406883,5.6,2.0464274839241257,5.365491053036952,2.129717530315786,9.428791488294614,81.02957244442852,111658.0,848,122,69,2,7,3,2,11,1,11,36,4,65,795.76,282.0
Quetta,Population,1319980,1275512,2595492,3447,752.9712793733681,8.9,25.45379168160631,26.51039799211187,1.2778997848691287,3.3905521692362854,43.367358372176405,178496.0,445,102,116,15,9,10,9,6,0,3,43,14,75,182.41,0.0
Sherani,Population,105351,86336,191687,4310,44.47494199535963,5.3,0.7651912978244562,8.122030507626906,56.16404101025256,8.847211802950739,26.101525381345336,19995.0,193,16,11,1,2,0,0,7,0,2,8,1,18,698.59,916.3
Sibi,Population,115038,109110,224148,7121,31.477039741609325,7.1,1.954569466455362,17.024444124285644,2.3627719348797003,7.808673101858522,70.84954137252078,20823.0,217,38,36,3,0,2,1,15,0,3,16,5,40,656.14,337.29
Sohbatpur,Population,121865,118241,240106,802,299.3840399002494,7.1,1.3464036848942955,19.912601866068265,8.710286996574938,18.69020904688792,51.340498405574586,16934.0,392,51,27,8,4,0,1,15,0,0,22,4,42,,
Washuk,Population,162938,139685,302623,33093,9.144622729882451,6.1,0.7561809573908469,1.8444239873750659,0.641109942135718,16.38611257233035,80.37217254076802,30416.0,176,24,21,5,2,0,1,12,0,4,29,0,46,,
Zhob,Population,192207,163485,355692,15987,22.248827172077313,7.4,2.8458559659017073,13.839436546508304,35.3353951711412,10.525768641006316,37.453543675442475,38477.0,332,38,28,8,0,2,1,17,0,5,22,2,47,,
Ziarat,Population,96180,93355,189535,3301,57.41744925780066,8.2,0.7852714634604546,4.899492767236521,1.6118730039451437,6.455006575239526,86.24835619011836,26615.0,237,32,28,3,2,1,2,7,0,5,15,3,32,,
Chaman,Population,261207,205011,466218,1341,347.6644295302014,7.5,,,,,,62162.4,183,21,19,1,0,0,0,0,0,0,0,0,0,,
Duki,Population,107269,97775,205044,4233,48.439404677533666,4.7,1.8,3.8,16.72,12.26,65.42,43626.3829787234,378,27,17,2,1,0,1,23,0,3,17,2,46,,
Surab,Population,141666,137372,279038,762,366.1916010498688,5.4,1.8,3.3,1.52,8.62,65.04,51673.7037037037,196,25,15,4,0,0,1,27,0,1,6,1,36,,
