Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Province,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE
,Balochistan ,Population,7768923,7125471,14894394,347190,42.9,6.4
,,,,,,,,
,Govt. Educational Facilities in Balochistan,Description,Nos.,,,,,
,Govt. Educational Facilities in Balochistan,Primary Schools,12224,,,,,
,Govt. Educational Facilities in Balochistan,Middle Schools,1578,,,,,
,Govt. Educational Facilities in Balochistan,High Schools,1194,,,,,
,Govt. Educational Facilities in Balochistan,Higher Sec Schools,172,,,,,
,Govt. Educational Facilities in Balochistan,Inter Colleges,88,,,,,
,Govt. Educational Facilities in Balochistan,Degree Colleges,47,,,,,
,,,,,,,,
,Abrstract of Health Instutions in Balochistan,Description,Nos.,,,,,
,Abrstract of Health Instutions in Balochistan,Hospitals,56,,,,,
,Abrstract of Health Instutions in Balochistan,Dispensaries,501,,,,,
,Abrstract of Health Instutions in Balochistan,Basic Health Units,770,,,,,
,Abrstract of Health Instutions in Balochistan,Rural Health Centers,132,,,,,
,Abrstract of Health Instutions in Balochistan,MCH Centers,92,,,,,
,Abrstract of Health Instutions in Balochistan,Population per Institution,9535,,,,,
,,,,,,,,
,,,,,,,,
,Description,Meaning,%,,,,,
,Normal Residential:,1-3 Story Residential Buildings,80.91,,,,,
,Normal Economic:,1-3 Story Economic Activity Buildings,11.6,,,,,
,Normal Economic + Residential:,1-3 Story Multi-Purpose Buildings,1.04,,,,,
,Multistory Residential:,All strcutures with 4 and above floors,0.06,,,,,
,Multistory Economic:,All strcutures with 4 and above floors with economic activity building,0.01,,,,,
,Multistory Economic + Residential:,More than 3 Floors Multi-Purpose Buildings,0.03,,,,,
,Jughi/Jhompri/Tent/Cave,,4.28,,,,,
,Under Construction,,2.07,,,,,
,,,,,,,,
,Types of Structures by Rural/Urban,,,,,,,
,Types of Structures,Total,Rural,Urban,,,,
,All Structures,2304869,1636399,668470,,,,
,High Rise / Multi-Story Structure,2333,313,2020,,,,
,Residential,1437,190,1247,,,,
,Economic,259,41,218,,,,
,Residential & Economic,637,82,555,,,,
,Normal Structures,2156191,1516270,639921,,,,
,Residential,1864928,1366383,498545,,,,
,Economic,267313,136363,130950,,,,
,Residential & Economic,23950,13524,10426,,,,
,Jughi/Jhompri/Tent,98723,92798,5925,,,,
,Under Construction,47622,27018,20604,,,,
,,,,,,,,
,Description,%,,,,,,
,Pakka House,19.64,,,,,,
,Rural,10.65,,,,,,
,Urban,42.5,,,,,,
,Semi Pakka,16.78,,,,,,
,Rural,15.62,,,,,,
,Urban,19.73,,,,,,
,Kacha,63.58,,,,,,
,Rural,73.73,,,,,,
,Urban,37.77,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Districts,Total Str,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,
,Balochistan ,2304869,2.78785644270845,10.275138840452893,6.951820388142196,13.126763390636997,66.85842093805947,
,,,,,,,,
,Type,Contruction material used for walls,%,,,,,
,Backed Bricks/Blocks /Stones,Contruction material used for walls,22.36,,,,,
,Unbaked Bricks/Mud,Contruction material used for walls,61.02,,,,,
,Wood/Bamboo,Contruction material used for walls,9.55,,,,,
,Playwood/Cardboard,Contruction material used for walls,0.2,,,,,
,Pre-Fab,Contruction material used for walls,0.16,,,,,
,Others,Contruction material used for walls,6.71,,,,,
,,,,,,,,
,Type,Contruction material used for roofs,%,,,,,
,RRC/RBC,Contruction material used for roofs,6.64,,,,,
,Cement/Iron Sheet,Contruction material used for roofs,3.46,,,,,
,Garder/T-Iron,Contruction material used for roofs,23.53,,,,,
,Wood/Bamboo,Contruction material used for roofs,58.78,,,,,
,Pre Fab,Contruction material used for roofs,0.58,,,,,
,Others,Contruction material used for roofs,7.02,,,,,
,,,,,,,,
,,,,,,,,
,Road in Kilometers in Balochistan,Black Top,Shingle,,,,,
,Road in Kilometers in Balochistan,27192.600000000006,20373.2,,,,,
