Districts,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Primary,Middle,High,High Sec,Deg Clgs,PG,Unis,Mgt,Tech,Hospitals,Dispensaries,RHCs,TB Clinics,MCH,SHC,BHU,Leprosy Clinic,Total.1,High Type ,Low type,Total.2
Abbotabad,712322,706750,1419072,1967,721.4397559735637,5.9,42.33827508083496,30.72443525504256,7.343334139849988,1.5254162725733014,18.068539251699185,181852,1365,172,120,38,14,4,1,2,3,7,42,7,1,2,1,53,1,114,1222.0,47.0,1269.0
Bajaur,650813,637147,1287960,1290,998.4186046511627,7.0,6.190901323810347,7.079841411552382,33.717324731926006,4.931409536426384,48.080522996284884,104169,543,109,44,7,4,1,0,1,2,4,0,2,3,0,0,19,0,28,631.0,226.0,857.0
Bannu,706113,651777,1357890,1972,688.5851926977688,7.4,7.351812449600202,43.95348159375091,2.0937169061567906,3.1439758275282483,43.45701322296385,106941,1610,190,138,40,17,2,1,2,4,6,146,3,2,14,0,46,0,217,1166.0,491.0,1657.0
Batagram,281308,272825,554133,1301,425.92851652574944,6.4,28.370536120358747,31.985300805908786,6.949371463916026,1.6791282359147883,31.015663373901653,54969,706,46,45,8,3,0,0,0,1,2,10,2,1,1,0,28,1,45,310.0,320.5,630.5
Buner,508200,508669,1016869,1865,545.2380697050938,8.5,41.862491567348776,18.598212277940185,15.636946255902856,3.9633460760062964,19.93900382280189,71152,653,102,80,41,7,0,1,1,1,4,8,4,1,0,0,18,3,38,483.0,34.0,517.0
Charsadda,950891,884613,1835504,996,1842.875502008032,6.9,33.80988991215874,24.374178703264466,18.158223327280957,0.9165807883358142,22.741127268960028,183399,942,102,117,31,12,1,1,2,6,5,7,4,0,1,1,43,0,61,514.0,0.0,514.0
Upper Chitral,100495,95033,195528,8392,23.299332697807436,7.4,3.379202229576729,8.418394008012541,18.024734366835045,2.3288625674969516,67.84880682807874,21757,344,40,42,11,3,0,0,1,3,3,20,3,2,2,0,9,2,41,43.0,245.0,288.0
Lower Chitral,163584,156823,320407,6458,49.61396717249922,6.9,3.379202229576729,8.418394008012541,18.024734366835045,2.3288625674969516,67.84880682807874,35653,278,38,38,6,2,0,1,0,1,1,16,3,0,0,0,10,0,30,51.0,366.0,417.0
Dera Ismail Khan,959556,870255,1829811,9334,196.03717591600602,6.7,2.8168853394181403,45.15345122646891,3.1985168282943524,1.8054763262977753,47.025670279520824,181836,1392,219,135,44,23,0,2,2,5,12,42,3,1,7,2,40,0,107,2800.0,1040.0,3840.0
Hangu,260301,268601,528902,1097,482.1349134001823,8.6,26.489237216643534,34.03815277437614,11.287996299017607,2.0654747326312353,26.119138977331485,36747,1237,141,130,62,10,1,0,3,8,7,19,4,1,7,2,33,2,75,1122.0,110.0,1232.0
