Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Province,Population,Male,Female,Transgendr,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE
,Khyber Pakhtunkhwa,Population,20845747,20009233,1117,40856097,101741,606.6304967143116,7.040000000000001
,,,,,,,,,
,,,,,,,,,
,Govt. Educational Facilities in KP,Description,Nos.,,,,,,
,Govt. Educational Facilities in KP,Primary Schools,27997,,,,,,
,Govt. Educational Facilities in KP,Middle Schools,3594,,,,,,
,Govt. Educational Facilities in KP,High Schools,2719,,,,,,
,Govt. Educational Facilities in KP,Higher Sec Schools,866,,,,,,
,Govt. Educational Facilities in KP,Degree Colleges,304,,,,,,
,Govt. Educational Facilities in KP,Post Graduate,29,,,,,,
,Govt. Educational Facilities in KP,Universities,28,,,,,,
,Govt. Educational Facilities in KP,Comm & Mgt,43,,,,,,
,Govt. Educational Facilities in KP,Tech & Vocational,107,,,,,,
,,,,,,,,,
,,,,,,,,,
,Abrst. of Health Inst. in KP,Description,In KP,,,,,,
,Abrst. of Health Inst. in KP,Hospitals,192,,,,,,
,Abrst. of Health Inst. in KP,Dispensaries,962,,,,,,
,Abrst. of Health Inst. in KP,Rural Health Centers (RHCs),126,,,,,,
,Abrst. of Health Inst. in KP,TB Clinics,57,,,,,,
,Abrst. of Health Inst. in KP,MCH Centers,156,,,,,,
,Abrst. of Health Inst. in KP,Sub Health Centers (SHC),22,,,,,,
,Abrst. of Health Inst. in KP,Basic Health Units (BHU),936,,,,,,
,Abrst. of Health Inst. in KP,Leprosy Clinics,19,,,,,,
,,,,,,,,,
,,,,,,,,,
,Roads in KP,Type,Length (KM),,,,,,
,Roads in KP,High Type,24888,,,,,,
,Roads in KP,Low Type,6858,,,,,,
,,,,,,,,,
,,,,,,,,,
,Description,Meaning,%,,,,,,
,Normal Residential:,1-3 Story Residential Buildings,81.6,,,,,,
,Normal Economic:,1-3 Story Economic Activity Buildings,13.16,,,,,,
,Normal Economic + Residential:,1-3 Story Multi-Purpose Buildings,1.69,,,,,,
,Multistory Residential:,All strcutures with 4 and above floors,0.06,,,,,,
,Multistory Economic:,All strcutures with 4 and above floors with economic activity building,0.02,,,,,,
,Multistory Economic + Residential:,More than 3 Floors Multi-Purpose Buildings,0.02,,,,,,
,Jughi/Jhompri/Tent/Cave,,0.2,,,,,,
,Under Construction,,3.25,,,,,,
,,,,,,,,,
,Types of Structures by Rural/Urban,,,,,,,,
,Types of Structures,Total,Rural,Urban,,,,,
,All Structures,5746412,4806420,939992,,,,,
,High Rise / Multi-Story Structure,5899,2313,3586,,,,,
,Residential,3391,1485,1906,,,,,
,Economic,1191,328,863,,,,,
,Residential & Economic,1317,500,817,,,,,
,Normal Structures,5542238,4637533,904705,,,,,
,Residential,4689072,3957410,731662,,,,,
,Economic,756175,610853,145322,,,,,
,Residential & Economic,96991,69270,27721,,,,,
,Jughi/Jhompri/Tent,11477,10637,840,,,,,
,Under Construction,186798,155937,30861,,,,,
,,,,,,,,,
,,,,,,,,,
,Description,%,,,,,,,
,Pakka House,55.57,,,,,,,
,Rural,50.35,,,,,,,
,Urban,83.9,,,,,,,
,Semi Pakka,19.58,,,,,,,
,Rural,21.67,,,,,,,
,Urban,8.23,,,,,,,
,Kacha,24.85,,,,,,,
,Rural,27.98,,,,,,,
,Urban,7.86,,,,,,,
,,,,,,,,,
,Districts,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,,
,Khyber Pakhtunkhwa,20.65400454557302,19.58147727838916,18.062458013884036,6.1238888246174055,35.57817133753638,3070968,,
,,,,,,,,,
,,,,,,,,,
,Contruction material used for walls,Type,%,,,,,,
,Contruction material used for walls,Backed Bricks/Blocks /Stones,67.16,,,,,,
,Contruction material used for walls,Unbaked Bricks/Mud,28.29,,,,,,
,Contruction material used for walls,Wood/Bamboo,2.72,,,,,,
,Contruction material used for walls,Playwood/Cardboard,0.05,,,,,,
,Contruction material used for walls,Pre-Fab,0.03,,,,,,
,Contruction material used for walls,Others,1.74,,,,,,
,,,,,,,,,
,Contruction material used for roofs,Type,%,,,,,,
,Contruction material used for roofs,RRC/RBC,35.16,,,,,,
,Contruction material used for roofs,Cement/Iron Sheet,9.91,,,,,,
,Contruction material used for roofs,Garder/T-Iron,18.59,,,,,,
,Contruction material used for roofs,Wood/Bamboo,33.79,,,,,,
,Contruction material used for roofs,Pre Fab,0.14,,,,,,
,Contruction material used for roofs,Others,2.4,,,,,,
