Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Punjab,Population,Male,Female,Transgender,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE
,Punjab,Population,65448376,62226589,13957,127688922,205345,891.8239681807313,6.3583333333333325
,,,,,,,,,
,,,,,,,,,
,,Abrst. of Health Inst. in Punjab,Description,In Punjab,,,,,
,,Abrst. of Health Inst. in Punjab,Hospitals,339,,,,,
,,Abrst. of Health Inst. in Punjab,Dispensaries,1188,,,,,
,,Abrst. of Health Inst. in Punjab,Rural Health Centers (RHCs),359,,,,,
,,Abrst. of Health Inst. in Punjab,TB Clinics,36,,,,,
,,Abrst. of Health Inst. in Punjab,Sub Health Centers (SHC),137,,,,,
,,Abrst. of Health Inst. in Punjab,MCH Centers,268,,,,,
,,Abrst. of Health Inst. in Punjab,Basic Health Units (BHU),2583,,,,,
,,Abrst. of Health Inst. in Punjab,Trauma,9,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Metalled Roads Punjab,National Highways,Motorway,Roads,,,,
,,Metalled Roads Punjab,2162,1574,88624,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Description,Meaning,%,,,,,,
,Normal Residential:,1-3 Story Residential Buildings,78.58,,,,,,
,Normal Economic:,1-3 Story Economic Activity Buildings,14.78,,,,,,
,Normal Economic + Residential:,1-3 Story Multi-Purpose Buildings,3.66,,,,,,
,Multistory Residential:,All strcutures with 4 and above floors,0.08,,,,,,
,Multistory Economic:,All strcutures with 4 and above floors with economic activity building,0.02,,,,,,
,Multistory Economic + Residential:,More than 3 Floors Multi-Purpose Buildings,0.02,,,,,,
,Jughi/Jhompri/Tent/Cave,,0.47,,,,,,
,Under Construction,,2.39,,,,,,
,,,,,,,,,
,Types of Structures by Rural/Urban,,,,,,,,
,Types of Structures,Total,Rural,Urban,,,,,
,All Structures,22119690,13383270,8736420,,,,,
,High Rise / Multi-Story Structure,26778,3179,23599,,,,,
,Residential,18136,2153,15983,,,,,
,Economic,3533,269,3264,,,,,
,Residential & Economic,5109,757,4352,,,,,
,Normal Structures,21460198,13041706,8418492,,,,,
,Residential,17379886,10613874,6766012,,,,,
,Economic,3270252,2049762,1220490,,,,,
,Residential & Economic,810060,378070,431990,,,,,
,Jughi/Jhompri/Tent,104267,68836,35431,,,,,
,Under Construction,528470,269555,258915,,,,,
,,,,,,,,,
,Description,%,,,,,,,
,Pakka House,80.8,,,,,,,
,Rural,72.99,,,,,,,
,Urban,92.06,,,,,,,
,Semi Pakka,11.93,,,,,,,
,Rural,16.41,,,,,,,
,Urban,5.49,,,,,,,
,Kacha,7.26,,,,,,,
,Rural,10.6,,,,,,,
,Urban,2.45,,,,,,,
,,,,,,,,,
,Districts,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,,
,Punjab,20.486314580633447,54.38468331861655,10.6551399578968,0.8807696901161964,13.593092452737007,22119690,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Type,Contruction material used for walls,%,,,,,,
,Backed Bricks/Blocks /Stones,Contruction material used for walls,86.6,,,,,,
,Unbaked Bricks/Mud,Contruction material used for walls,11.84,,,,,,
,Wood/Bamboo,Contruction material used for walls,0.07,,,,,,
,Playwood/Cardboard,Contruction material used for walls,0.02,,,,,,
,Pre-Fab,Contruction material used for walls,0.03,,,,,,
,Others,Contruction material used for walls,0.82,,,,,,
,,,,,,,,,
,Type,Contruction material used for roofs,%,,,,,,
,RRC/RBC,Contruction material used for roofs,34.03,,,,,,
,Cement/Iron Sheet,Contruction material used for roofs,5.16,,,,,,
,Garder/T-Iron,Contruction material used for roofs,47.74,,,,,,
,Wood/Bamboo,Contruction material used for roofs,12.08,,,,,,
,Pre Fab,Contruction material used for roofs,0.08,,,,,,
,Others,Contruction material used for roofs,0.91,,,,,,
