Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Province,Population,Male,Female,Transgender,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE
,Sindh,Population,29014424,26677501,4222,55696147,140914,5141.890090264249,5.549999999999998
,,,,,,,,,
,Description,Meaning,%,,,,,,
,Normal Residential:,1-3 Story Residential Buildings,85.54,,,,,,
,Normal Economic:,1-3 Story Economic Activity Buildings,11.46,,,,,,
,Normal Economic + Residential:,1-3 Story Multi-Purpose Buildings,2.99,,,,,,
,Multistory Residential:,All strcutures with 4 and above floors,64.62,,,,,,
,Multistory Economic:,All strcutures with 4 and above floors with economic activity building,2.42,,,,,,
,Multistory Economic + Residential:,More than 3 Floors Multi-Purpose Buildings,32.96,,,,,,
,Jughi/Jhompri/Tent/Cave,,4.06,,,,,,
,Under Construction,,1.77,,,,,,
,,,,,,,,,
,Types of Structures by Rural/Urban,,,,,,,,
,Types of Structures,Total,Rural,Urban,,,,,
,All Structures,7730239,4192513,3537726,,,,,
,High Rise / Multi-Story Structure,74882,1843,73039,,,,,
,Residential,48389,1350,47039,,,,,
,Economic,1815,112,1703,,,,,
,Residential & Economic,24678,381,24297,,,,,
,Normal Structures,7204699,3868616,3336083,,,,,
,Residential,6163126,3420253,2742873,,,,,
,Economic,825884,412143,413741,,,,,
,Residential & Economic,215689,36220,179469,,,,,
,Jughi/Jhompri/Tent,313738,268371,45367,,,,,
,Under Construction,136920,53683,83237,,,,,
,,,,,,,,,
,,,,,,,,,
,Description,%,,,,,,,
,Pakka House,57.69,,,,,,,
,Rural,27.25,,,,,,,
,Urban,85.62,,,,,,,
,Semi Pakka,9.19,,,,,,,
,Rural,11.74,,,,,,,
,Urban,6.86,,,,,,,
,Kacha,33.11,,,,,,,
,Rural,61.01,,,,,,,
,Urban,7.52,,,,,,,
,,,,,,,,,
,Province,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,,
,Sindh,20.35071991945909,33.46497426554331,3.765547639465757,15.370845386634562,27.047912788897268,7730239,,
,,,,,,,,,
,Contruction material used for walls,Type,%,,,,,,
,Contruction material used for walls,Backed Bricks/Blocks /Stones,61.15,,,,,,
,Contruction material used for walls,Unbaked Bricks/Mud,23.79,,,,,,
,Contruction material used for walls,Wood/Bamboo,12.32,,,,,,
,Contruction material used for walls,Playwood/Cardboard,0.15,,,,,,
,Contruction material used for walls,Pre-Fab,0.12,,,,,,
,Contruction material used for walls,Others,2.47,,,,,,
,,,,,,,,,
,Contruction material used for roofs,Type,%,,,,,,
,Contruction material used for roofs,RRC/RBC,29.9,,,,,,
,Contruction material used for roofs,Cement/Iron Sheet,7.34,,,,,,
,Contruction material used for roofs,Garder/T-Iron,26.16,,,,,,
,Contruction material used for roofs,Wood/Bamboo,33.45,,,,,,
,Contruction material used for roofs,Pre Fab,0.55,,,,,,
,Contruction material used for roofs,Others,2.6,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Dringking Water,,,,,,,,
,Inside,,,,,,,,
,Tape water,58.5,,,,,,,
,Motor/Hand Pump (Bore Hole),39.02,,,,,,,
,Protected Well,0.53,,,,,,,
,Un-protected Well,0.16,,,,,,,
,Other,1.79,,,,,,,
,,,,,,,,,
,Outside,,,,,,,,
,Tape water,23.95,,,,,,,
,Motor/Hand Pump (Bore Hole),24.96,,,,,,,
,Protected Well,2.91,,,,,,,
,Un-protected Well,5.65,,,,,,,
,Bottled Water,10.41,,,,,,,
,Spring,0.38,,,,,,,
,Canal/River/Pond,8.21,,,,,,,
,Filtration Plant,13.47,,,,,,,
,Tanker/Water Bearer,6.87,,,,,,,
,Other,3.17,,,,,,,
