Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Islamabad,Population,Male,Female,Transgender,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE
,Islamabad,Population,1247693,1115900,270,2363863,906,2609.12,5.7
,,,,,,,,,
,Description,Meaning,%,,,,,,
,Normal Residential:,1-3 Story Residential Buildings,80.96,,,,,,
,Normal Economic:,1-3 Story Economic Activity Buildings,7.54,,,,,,
,Normal Economic + Residential:,1-3 Story Multi-Purpose Buildings,3.27,,,,,,
,Multistory Residential:,Flats and >3 Floor Residential Buildings,0.51,,,,,,
,Multistory Economic:,Four and > Four Story Economic Activity Buildings,0.19,,,,,,
,Multistory Economic + Residential:,More than 3 Floors Multi-Purpose Buildings,0.32,,,,,,
,Jughi/Jhompri/Tent,,0.65,,,,,,
,Under Construction,,6.56,,,,,,
,,,,,,,,,
,Types of Structures by Rural/Urban,,,,,,,,
,Types of Structures,Total,Rural,Urban,,,,,
,All Structures,416897,245119,171778,,,,,
,High Rise / Multi-Story Structure,16546,9263,7283,,,,,
,Residential,2137,304,1833,,,,,
,Economic,795,452,343,,,,,
,Residential & Economic,13614,8507,5107,,,,,
,Normal Structures,382578,224069,158509,,,,,
,Residential,337525,198008,139517,,,,,
,Economic,31439,17554,13885,,,,,
,Residential & Economic,13614,8507,5107,,,,,
,Jughi/Jhompri/Tent,2713,1063,1650,,,,,
,Under Construction,27350,18258,9092,,,,,
,,,,,,,,,
,Description,%,,,,,,,
,Pakka House,97.35,,,,,,,
,Rural,98.38,,,,,,,
,Urban,96.09,,,,,,,
,Semi Pakka,1.21,,,,,,,
,Rural,0.91,,,,,,,
,Urban,1.58,,,,,,,
,Kacha,1.44,,,,,,,
,Rural,0.71,,,,,,,
,Urban,2.33,,,,,,,
,,,,,,,,,
,Districts,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,,
,Islamabad,81.87272607395242,13.739757967357361,0.8469344330094644,0.3236692100673112,3.216912315613443,416897,,
,,,,,,,,,
,Type,Contruction material used for walls,%,,,,,,
,Backed Bricks/Blocks /Stones,Contruction material used for walls,97.71,,,,,,
,Unbaked Bricks/Mud,Contruction material used for walls,1.53,,,,,,
,Wood/Bamboo,Contruction material used for walls,0.35,,,,,,
,Playwood/Cardboard,Contruction material used for walls,0.02,,,,,,
,Pre-Fab,Contruction material used for walls,0.04,,,,,,
,Others,Contruction material used for walls,0.35,,,,,,
,,,,,,,,,
,Type,Contruction material used for roofs,%,,,,,,
,RRC/RBC,Contruction material used for roofs,85.26,,,,,,
,Cement/Iron Sheet,Contruction material used for roofs,6.76,,,,,,
,Garder/T-Iron,Contruction material used for roofs,6.15,,,,,,
,Wood/Bamboo,Contruction material used for roofs,1.37,,,,,,
,Pre Fab,Contruction material used for roofs,0.09,,,,,,
,Others,Contruction material used for roofs,0.37,,,,,,
