Districts,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Hospitals,Dispensaries,RHCs,BHUs,TB Clinics,SHC,MCH,Trauma,Total.1,National Highways,Motorway,Roads,Total.2,Primary School,Middle School,High School,Higher Secondary  School,Total.3
Attock,1089736,1080687,2170423,6857,316.5266151378154,6.1,39.89469664998694,38.02938043849601,12.190269488153373,0.7250658145937582,9.16058760876992,248805,7,8,6,58,0,2,5,0,86,0,175,2331,2506,528,180,239,23,970
Bahawalnagar,1845863,1704479,3550342,8878,399.9033566118495,6.3,11.129098991609576,56.43546493726426,11.070163959664383,0.8351935955661612,20.53007851589562,415712,6,29,10,104,0,27,9,0,185,0,0,3762,3762,1313,325,232,18,1888
Bahawalpur,2175464,2109500,4284964,24830,172.5720499395892,6.3,8.827099108128635,65.18706590764943,1.820153630519384,0.7814641098121511,23.384217243890408,510836,12,70,13,78,2,0,10,0,185,77,47,3143,3267,1025,253,196,30,1504
Bhakkar,1016438,941032,1957470,8153,240.09199067827794,6.2,3.1727013491169633,69.59294848753524,3.7454170760346024,0.8742501577564241,22.614682929556764,250386,5,29,6,40,0,13,2,0,95,108,0,2671,2779,735,196,134,12,1077
Chakwal,864118,870736,1734854,6525,265.8780076628353,6.0,22.63747997864389,60.24736096455642,7.357769547359704,0.6070517213111308,9.15033778812886,237871,6,16,11,68,0,0,6,0,107,109,68,2440,2617,437,164,288,25,914
Chiniot,790898,772126,1563024,2643,591.3825198637911,6.0,6.006998444790047,67.38109123898393,10.970170209089337,0.5983238292725074,15.043416277864178,185184,3,12,4,39,1,0,2,0,61,0,0,1327,1327,421,105,79,7,612
Dera Ghazi Khan,1713051,1680654,3393705,11922,284.6590337191746,7.4,4.461144408258827,45.776330353070264,5.775628614353108,2.253857170653287,41.73303945366451,313507,7,23,10,55,0,0,5,2,102,299,0,1882,2181,1063,169,146,17,1395
Faisalabad,4732186,4343633,9075819,5857,1549.5678675089637,6.5,20.103352320142935,63.74413371393362,10.263944238003464,0.44038896205994754,5.448180765860035,1002977,21,122,18,172,0,7,6,0,346,0,161,2457,2618,1029,430,536,68,2063
Gujranwala,3028827,2930923,5959750,3622,1645.4307012700165,7.0,61.25381069253855,15.247353257717393,19.385737697922906,0.4115310884554783,3.701567263365673,632759,12,61,16,99,1,32,10,0,231,74,32,2755,2861,733,264,318,21,1336
Gujrat,1608411,1610964,3219375,3192,1008.5761278195489,6.5,48.39538444106572,31.426696776539597,15.951557184603912,0.636628818521261,3.5897327792695104,379499,15,5,10,89,0,0,10,1,130,61,0,3470,3531,704,179,319,28,1230
Hafizabad,670083,649826,1319909,2367,557.6294888043938,6.6,20.854962027258548,47.04784309714373,24.632418748561637,0.3554350883473547,7.109341038688726,156428,3,16,8,33,1,0,4,0,65,0,62,1689,1751,441,108,72,14,635
Jhelum,703765,678543,1382308,3587,385.36604404795094,6.0,36.00613252949551,43.08851245814145,15.632762923556637,0.6190166050916133,4.653575483714791,173501,6,26,7,48,0,0,6,0,93,0,62,2158,2220,1014,152,201,20,1387
Jhang,1585868,1479771,3065639,6166,497.1843983133312,6.2,4.0881918780556745,73.54400695149656,4.784911902344036,0.5027795517122248,17.080109716391505,382076,8,75,10,62,1,0,2,1,159,50,31,1339,1420,329,111,185,11,636
Kasur,2087616,1996670,4084286,3995,1022.349436795995,6.3,21.29006581836036,57.22282424140176,13.363311725531165,0.737563617565694,7.386234597141022,462333,8,32,14,82,1,0,8,1,146,49,0,2840,2889,798,198,232,16,1244
Khanewal,1735041,1629036,3364077,4349,773.5288572085536,6.3,6.2478232777773774,72.97285612376513,3.1959686503961935,0.9004724538054508,16.682879494255854,416337,7,9,9,81,0,0,4,0,110,121,74,2638,2833,521,332,234,32,1119
Khushab,768175,732914,1501089,6511,230.54661342343726,6.0,4.890671700487651,60.04299722091133,22.73399402233758,1.1745582297729538,11.157778826490484,190710,6,30,5,44,0,0,7,0,92,0,0,2167,2167,503,105,147,14,769
Lahore,6885177,6118958,13004135,1772,7338.676636568849,6.4,77.39920284063545,17.117176212267417,2.567291608767027,0.2329507497751624,2.683378588554946,1158614,50,107,12,43,21,0,50,2,285,53,13,1262,1328,473,185,382,4,1044
Layyah,1083011,1019375,2102386,6289,334.29575449197006,6.1,3.249173211676883,73.49356688116754,2.8562818747401386,0.7514523628790162,19.649525669536427,262159,8,34,6,36,0,13,2,0,99,58,0,2668,2726,963,229,178,14,1384
Lodhran,997963,930336,1928299,2778,694.1321094312455,5.9,4.786549647503751,73.50954720161141,2.7673524756952297,0.6071568043080591,18.32939387088155,243265,5,15,5,48,0,0,1,1,75,87,0,997,1084,440,137,110,14,701
Mandi Bahauddin,917264,912222,1829486,2673,684.4317246539468,6.3,23.921667062604495,46.63176437366371,25.451481181000364,0.49203268504117004,3.5030546976902626,223099,7,6,11,48,0,0,3,0,75,0,0,2134,2134,396,122,190,15,723
Mianwali,918180,880088,1798268,5840,307.922602739726,6.0,5.017723880597015,66.85727611940298,15.774720149253731,1.3395522388059702,11.010727611940299,214400,6,22,11,43,0,0,2,0,84,85,106,2048,2239,764,153,154,14,1085
Multan,2731020,2631285,5362305,3720,1441.4798387096773,6.0,21.94778826810357,52.65936738527208,6.32351047972689,1.0714712255378682,17.997862641359596,644721,20,47,11,84,0,0,20,0,182,82,121,2390,2593,816,186,213,32,1247
Muzaffargarh,2546986,2468339,5015325,8249,607.9918778033701,6.2,3.263416686261243,58.274909505049,5.395146623414639,1.5267773880189963,31.53974979725612,625173,6,43,14,76,0,0,5,0,144,120,0,2213,2333,1261,210,181,20,1672
Nankana Sahib,832012,802859,1634871,2216,737.7576714801444,6.6,13.292037475724012,54.1696011268327,23.52743453486139,0.5580809697590542,8.452845892822843,187428,4,25,9,49,0,0,4,0,91,0,41,1951,1992,447,128,109,9,693
Narowal,996530,954424,1950954,2337,834.8112965340181,6.9,30.670166229221348,45.66797900262467,17.276465441819774,0.5139982502187227,5.8713910761154855,228600,3,8,7,57,1,0,4,0,80,0,0,1295,1295,689,142,183,21,1035
Okara,1790079,1725411,3515490,4377,803.1734064427691,6.3,11.729657927396834,68.3851904281725,7.739538085634502,0.7288919484951908,11.416721610300963,412544,8,29,11,96,1,0,11,1,157,50,0,2536,2586,756,235,250,15,1256
Pakpattan,1085476,1050694,2136170,2724,784.2033773861968,6.1,6.467730742539903,72.8305960367029,3.8931297709923665,0.40365486930372424,16.4048885804611,259380,4,12,6,55,1,8,2,0,88,0,0,1443,1443,508,136,121,11,776
Rahim Yar Khan,2897370,2667333,5564703,11880,468.40934343434344,6.7,6.318027911122306,64.9612560812371,1.535224753480817,1.716390316523042,25.469100937636743,619323,6,65,20,109,2,0,8,0,210,167,143,4120,4430,1758,311,313,25,2407
Rajanpur,1209301,1171748,2381049,12318,193.29834388699462,6.7,2.1897261903271446,39.63542123120454,4.105684440716304,5.83259257404463,48.23657556370738,239619,5,14,7,32,0,0,0,0,58,194,0,1228,1422,690,75,82,13,860
Rawalpindi,3111151,3007760,6118911,5285,1157.7882686849575,6.1,64.37258554025108,28.75829244975964,1.68209137585225,0.29190786413077746,4.895122770006254,586829,15,10,6,87,0,0,8,0,126,186,76,3510,3772,783,248,461,60,1552
Sahiwal,1460901,1420910,2881811,3201,900.2845985629491,6.4,9.394756401474853,77.7591558943119,4.725942550679861,0.5013334887855779,7.618811664747803,343085,9,26,13,76,0,18,6,0,148,98,0,1376,1474,559,209,261,26,1055
Sargodha,2194537,2139911,4334448,5856,740.1721311475409,6.3,12.752284992357364,50.92452506472845,28.73026951991765,0.7759615684561875,6.81695885454035,512912,17,16,13,132,1,0,8,0,187,0,72,5671,5743,942,290,390,43,1665
Sheikhupura,2079984,1969434,4049418,3744,1081.5753205128206,6.8,42.423871225319395,34.12660605400697,18.183571065621372,0.5934233449477352,4.672528310104529,440832,11,52,9,84,0,0,15,0,171,24,119,1602,1745,617,219,169,18,1023
Sialkot,2278798,2220596,4499394,3016,1491.8415119363397,6.7,65.82919317672726,15.68062969220539,14.62772743070553,0.37889213226268514,3.4835575680991306,497767,11,27,8,120,1,11,13,0,191,0,70,1918,1988,901,247,308,35,1491
Toba Tek Singh,1295882,1228162,2524044,3252,776.1512915129152,6.4,6.4821290778045935,73.2594526260487,10.522911228225714,0.48137385279679523,9.254133215124202,304545,8,29,9,75,1,6,2,0,130,0,101,2107,2208,601,236,254,17,1108
Vehari,1735171,1695250,3430421,4364,786.0726397800183,6.3,6.740022799438331,76.15941993532005,3.02508427474791,0.45623339579531386,13.619239594698398,408782,4,38,14,81,0,0,8,0,145,11,0,3352,3363,781,248,212,27,1268
