Sindh,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Hospitals,Dispensaries,RHCs,TB Clinics,MCHC,BHU,Trauma centers,Leprosy Clinic,Total.1,Primary,Elementary,Middle,Secondary,Hi. Secondary ,Total.2,High Type Roads
Badin,Population,1012928,934153,1947081,6858,283.913823272091,4.8,4.505911846142333,18.44022050936666,4.3032377959041135,49.73247025368555,23.018159594901345,320712,5.0,84.0,10.0,12.0,1.0,39.0,0.0,1.0,152.0,1913,32,59,49,25,2078,1623.0
Dadu,Population,883879,858441,1742320,7866,221.50012712941773,5.1,1.8677339432056412,34.92191616497943,5.336756391140409,10.689208025501033,47.184385475173485,267597,4.0,79.0,5.0,14.0,4.0,47.0,3.0,1.0,157.0,1367,50,40,81,21,1559,1100.0
Ghotki,Population,920375,852234,1772609,6083,291.4037481505836,5.3,2.5892662726866407,51.72878791930413,3.6310085455719268,11.874410271494769,30.176526990942534,261773,4.0,50.0,3.0,8.0,3.0,36.0,4.0,0.0,108.0,1251,56,73,26,24,1430,1125.0
Hyderabad,Population,1289450,1143090,2432540,993,2449.6878147029206,5.4,61.404417936261666,23.761032123508915,3.2565429712338174,3.519469949385762,8.058537019609838,314536,10.0,29.0,3.0,11.0,7.0,17.0,1.0,2.0,80.0,674,9,67,74,17,841,526.0
Jacobabad,Population,595896,578201,1174097,2698,435.17309117865085,6.0,2.517346513515292,28.731968034159287,9.717703314299085,22.333681847760126,36.69930029026621,136771,3.0,10.0,3.0,9.0,15.0,20.0,0.0,1.0,61.0,927,6,50,39,14,1036,697.0
Jamshoro,Population,578103,539205,1117308,11204,99.72402713316673,5.2,12.056072331222804,45.11516714870111,3.1501602438833736,12.988222725969932,26.690377550222777,153516,4.0,24.0,5.0,11.0,2.0,17.0,0.0,2.0,65.0,628,70,16,46,9,769,642.0
Qambar Shahdadkot,Population,791159,723710,1514869,5475,276.688401826484,5.6,1.9053663070473068,33.9567957065546,11.534137188372918,11.4776707858824,41.12603001214278,200119,4.0,34.0,4.0,7.0,2.0,28.0,2.0,0.0,81.0,1189,16,54,47,15,1321,737.0
Central Karachi,Population,2019678,1802647,3822325,69,55396.014492753624,5.8,79.16076686220305,18.33450526728121,0.08958070450889546,0.18140895357536177,2.23373821243149,311451,14.0,57.0,5.0,33.0,21.0,33.0,3.0,1.0,167.0,195,11,15,88,13,322,367.0
East Karachi,Population,2085145,1836597,3921742,139,28213.97122302158,5.9,75.14705781649101,20.596996528134436,0.33040929665618946,0.448877293177476,3.4766590655408782,292062,,,,,,,,,,91,2,16,55,12,176,
South Karachi,Population,1241244,1088520,2329764,122,19096.426229508197,5.4,82.69421197666458,13.688344169255405,0.2614201565125872,0.11769565488012584,3.238328042687309,176727,,,,,,,,,,60,6,14,49,9,138,
West Karachi,Population,1415628,1263752,2679380,370,7241.567567567568,5.7,41.54996702526689,52.26108775400849,0.3542207658381765,0.6767548740777379,5.157969580808706,388176,,,,,,,,,,134,6,8,27,3,178,
Keamari,Population,1100838,967613,2068451,559,3700.2701252236134,6.4,41.54996702526689,52.26108775400849,0.3542207658381765,0.6767548740777379,5.157969580808706,270469,,,,,,,,,,144,7,10,31,12,204,
Kashmore,Population,628311,605646,1233957,2580,478.2779069767442,5.9,1.917517257655319,34.24128594935132,5.627339534944704,25.547885486524933,32.66597177152372,152541,2.0,34.0,4.0,8.0,2.0,27.0,0.0,2.0,77.0,818,26,50,37,14,945,583.0
