Distrcts,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,No. of Household,National Highways,Motorway,Other Roads,Total,Hospitals,Dispensaries,RHCs,BHUs,TB Clinics,SHC,MCH,Trauma,Total
Muzaffarabad," 370,442 "," 357,972 "," 728,414 ","2,496",292.00,6.6,32%,18%,30%,10%,10%,"116,000",97121,60,0,"1,140","1,200",6,85,4,50,2,25,9,1,182
Neelum," 107,602 "," 98,509 "," 206,111 ","3,621",57.00,6.4,10%,5%,45%,25%,15%,"33,000",28438,0,0,850,850,3,45,3,32,0,18,5,0,106
Jhelum Valley," 107,682 "," 99,744 "," 207,426 ",715,290.00,6.5,20%,10%,40%,15%,15%,"33,000",28154,20,0,580,600,3,40,2,28,1,15,6,0,95
Bagh," 241,303 "," 231,062 "," 472,365 ",770,613.00,6.7,25%,15%,35%,10%,15%,"75,000",61940,30,0,770,800,4,70,4,50,1,22,6,1,158
Haveli," 102,014 "," 95,213 "," 197,227 ",598,330.00,6.5,12%,8%,50%,18%,12%,"31,000",26769,0,0,550,550,2,35,2,28,0,12,5,0,84
Poonch," 333,030 "," 317,066 "," 650,096 ",855,760.00,6.8,22%,12%,40%,10%,16%,"103,000",83824,40,0,960,"1,000",5,80,5,59,1,25,7,1,183
Mirpur," 257,593 "," 244,033 "," 501,626 ","1,010",497.00,6.3,40%,25%,15%,5%,15%,"80,000",70476,40,0,760,800,5,60,3,43,2,15,6,2,136
Bhimber," 280,706 "," 264,745 "," 545,451 ","1,516",360.00,6.6,35%,20%,20%,8%,17%,"86,000",72727,30,0,870,900,4,65,3,41,1,18,7,1,140
Kotli," 443,662 "," 419,797 "," 863,459 ","1,861",464.00,6.7,30%,20%,25%,8%,17%,"137,000",113284,30,0,970,"1,000",6,90,4,62,1,25,12,1,201
Sudhnoti," 177,264 "," 168,171 "," 345,435 ",569,607.00,6.6,25%,15%,35%,10%,15%,"56,000",46061,0,0,600,600,4,50,2,37,1,15,7,1,117
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
