Balochistan ,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,District-Wise Govt. Educational Facilities in Balochistan (Primary),Middle,High,High Sec,Inter Clgs,Deg Clgs,Hospitals,Dispensaries,TB Clinics,RHCs,BHUs,MCH ,Total,District,Road in Kilometers in Balochistan,Black Top,Shingle
Awaran,Population,"98,899","94,234","193,133","29,510",6.54,6.4,1.45,8.68,1.08,34.56,54.24,17945,302,36,40,5,3,0,1,13,1,2,7,1,25,Awaran,Road in Kilometers in Balochistan,550,1282
Barkhan,Population,"118,307","108,587","226,894","3,514",64.57,9.1,1,4.19,13.82,14.97,66.03,23566,589,42,24,6,2,0,1,9,0,0,10,2,22,Barkhan,Road in Kilometers in Balochistan,637,334
Chagai,Population,"151,010","139,504","290,514","44,748",6.49,7.0,1.03,3.14,1.65,5.62,88.57,31050,248,36,25,8,2,1,2,11,0,4,20,4,41,Chagai/Nushki,Road in Kilometers in Balochistan,1291,1162
Dera Bugti,Population,"210,004","173,410","383,414","10,160",37.74,5.7,0.7,10.12,6.9,25.72,56.57,40844,320,40,38,4,4,1,2,25,0,1,36,3,67,Dera Bugti,Road in Kilometers in Balochistan,694,602
Gwadar,Population,"173,510","155,821","329,331","12,637",26.06,6.0,4.13,46.35,8.06,17.38,24.09,36868,226,45,37,4,4,1,1,14,1,4,23,3,46,Gwadar,Road in Kilometers in Balochistan,540,934
Harnai,Population,"72,702","64,974","137,676","2,492",55.25,7.7,1.53,7.6,2.47,9.84,78.55,14152,161,25,18,3,1,1,1,6,0,1,8,1,17,Jaffarabad,Road in Kilometers in Balochistan,2112,21
Jaffarabad,Population,"325,253","316,399","641,652","1,643",390.54,7.2,1.18,30.74,7.34,10.31,50.43,50270,521,52,34,3,1,1,3,20,1,2,18,3,47,Jhal Magsi,Road in Kilometers in Balochistan,1160,99
Jhal Magsi,Population,"111,628","107,848","219,476","3,615",60.71,6.5,0.4,2.38,0.53,7.96,88.73,23997,265,35,24,2,2,0,1,11,0,3,14,2,31,Kachhi,Road in Kilometers in Balochistan,1167,280
Kachhi,Population,"252,122","225,615","477,737","5,682",84.08,8.8,0.65,7.76,1.11,8.72,81.76,30135,411,37,37,5,4,1,3,19,0,5,13,3,43,Kalat/Surab,Road in Kilometers in Balochistan,1075,1286
Kalat,Population,"149,598","143,472","293,070","7,654",38.29,8.2,1.56,1.75,0.67,7.52,88.51,50576,303,40,45,3,5,1,1,10,0,4,23,3,41,Kech/Turbat,Road in Kilometers in Balochistan,650,1553
Kech,Population,"599,329","545,635","1,144,964","22,539",50.80,4.1,6.46,12,2.1,25.16,54.28,133551,529,88,83,16,3,2,1,40,0,16,37,4,98,Kharan/Wushuk,Road in Kilometers in Balochistan,1308,1326
Kharan,Population,"150,772","130,202","280,974","14,958",18.78,7.2,0.79,1.35,5.68,6.11,86.07,23120,202,46,23,8,2,1,1,5,0,2,23,2,33,Khuzdar,Road in Kilometers in Balochistan,1560,1514
Khuzdar,Population,"579,909","496,292","1,076,201","35,380",30.42,6.1,2.89,2.76,3.16,11.02,80.17,109735,664,90,54,8,4,2,4,30,1,6,44,1,86,Killa Abdullah,Road in Kilometers in Balochistan,1097,1065
Killa Abdullah,Population,"204,173","186,469","390,642","3,553",109.95,5.3,2.41,6.15,0.75,10.69,80,90692,325,32,28,3,5,1,1,12,1,8,40,2,64,Killa Saifullah,Road in Kilometers in Balochistan,855,947
Killa Saifullah,Population,"214,843","195,471","410,314","6,831",60.07,5.4,1.88,2.98,4.38,13.49,77.27,43611,573,51,37,3,3,2,2,12,0,7,14,2,37,Kohlu,Road in Kilometers in Balochistan,229,1192
Kohlu,Population,"147,052","133,780","280,832","7,610",36.90,6.8,0.91,2.1,3.93,33.61,59.45,23102,424,45,26,5,2,0,1,30,0,3,53,1,88,Lasbela,Road in Kilometers in Balochistan,1670,1232
Lasbela,Population,"376,498","358,418","734,916","15,153",48.50,5.8,7.05,31.27,2.54,15.49,43.65,79664,555,74,39,9,2,2,3,27,0,4,45,4,83,Loralai/Duki,Road in Kilometers in Balochistan,987,602
Loralai,Population,"154,101","139,910","294,011","3,785",77.68,7.1,2.56,3.72,1.21,10.65,81.87,41990,344,39,27,2,1,2,1,15,1,3,19,2,41,Mastung,Road in Kilometers in Balochistan,1313,307
