Districts,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,No. of households,Hospitals,Dispensaries,RHCs,BHUs,TB Clinics,SHC,MCH,Trauma,Total,National Highways,Motorway,Other Roads,Total
Gilgit,"210,938","201,863","412,801","38,000",11,6.5,22%,18%,32%,14%,14%,"140,000",56000,6,70,3,18,2,20,5,2,126,220,0,"1,050","1,270"
Skardu,"187,506","179,561","367,067","22,000",17,6.6,20%,16%,35%,15%,14%,"120,000",48939,5,60,3,15,2,18,5,1,109,180,0,900,"1,080"
Diamer,"183,184","166,011","349,195","10,936",32,7,15%,10%,40%,18%,17%,"95,000",43571,4,55,2,14,1,16,4,1,97,260,0,700,960
Ghizer,"107,715","102,046","209,761","9,635",22,6.4,18%,12%,38%,17%,15%,"60,000",28906,3,45,2,12,1,14,4,1,82,120,0,650,770
Ghanche,"90,443","84,789","175,232","6,400",27,6.3,17%,11%,39%,18%,15%,"50,000",24603,3,40,2,11,1,12,3,1,73,100,0,600,700
Astore,"78,965","73,254","152,219","5,092",30,6.2,16%,10%,41%,18%,15%,"45,000",21774,3,38,2,10,1,12,3,1,70,90,0,550,640
Hunza,"31,359","30,239","61,598","7,900",8,5.8,25%,20%,28%,15%,12%,"20,000",9483,2,25,1,7,1,8,2,0,46,110,0,400,510
Nagar,"56,283","47,277","103,560","4,100",25,6.1,21%,17%,31%,16%,15%,"35,000",16066,3,30,1,8,1,10,3,0,56,95,0,420,515
Shigar,"50,840","47,452","98,292","8,500",12,6.3,18%,12%,37%,18%,15%,"30,000",13810,3,28,1,6,1,6,3,0,48,80,0,350,430
Kharmang ,"42,858","40,602","83,460","5,500",15,6.2,17%,11%,38%,19%,15%,"25,000",11935,3,29,1,4,1,4,3,1,46,85,0,370,455
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
