Districts,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Primary,Middle,High,High Sec,Deg Clgs,PG,Unis,Mgt,Tech
Abbotabad,Population,"754,044","748,146","1,502,190","1,967",763.7,5.9,42.34,30.72,7.34,1.53,18.07," 181,852 ","1,365",172,120,38,14,4,1,2,3
Bajaur,Population,"688,933","674,466","1,363,399","1,290",1056.9,7,6.19,7.08,33.72,4.93,48.08," 104,169 ",543,109,44,7,4,1,0,1,2
Bannu,Population,"747,472","689,953","1,437,425","1,972",728.92,7.4,7.35,43.95,2.09,3.14,43.46," 106,941 ","1,610",190,138,40,17,2,1,2,4
Batagram,Population,"297,785","288,805","586,590","1,301",450.88,6.4,28.37,31.99,6.95,1.68,31.02," 54,969 ",706,46,45,8,3,0,0,0,1
Buner,Population,"537,967","538,463","1,076,430","1,865",577.17,8.5,41.86,18.6,15.64,3.96,19.94," 71,152 ",653,102,80,41,7,0,1,1,1
Charsadda,Population,"1,006,587","936,427","1,943,014",996,1950.82,6.9,33.81,24.37,18.16,0.92,22.74," 183,399 ",942,102,117,31,12,1,1,2,6
Upper Chitral,Population,"106,381","100,599","206,980","8,392",24.66,7.4,3.38,8.42,18.02,2.33,67.85," 21,757 ",344,40,42,11,3,0,0,1,3
Lower Chitral,Population,"173,166","166,009","339,175","6,458",52.52,6.9,3.38,8.42,18.02,2.33,67.85," 35,653 ",278,38,38,6,2,0,1,0,1
Dera Ismail Khan,Population,"1,015,760","921,228","1,936,988","9,334",207.52,6.7,2.82,45.15,3.2,1.81,47.03," 181,836 ","1,392",219,135,44,23,0,2,2,5
Hangu,Population,"296,719","284,334","581,053","1,097",529.67,8.6,26.49,34.04,11.29,2.07,26.12," 36,747 ","1,237",141,130,62,10,1,0,3,8
Haripur,Population,"626,236","617,357","1,243,593","1,725",720.92,6.1,64.18,19.54,7.91,0.83,7.54," 136,989 ",817,87,72,27,6,0,1,1,1
Karak,Population,"445,980","417,686","863,666","3,371",256.2,8.4,2.14,64.47,4.26,3.06,26.07," 69,559 ",332,39,39,11,4,0,0,1,1
Khurram,Population,"430,764","400,675","831,439","3,380",245.99,8.3,11.4,6.33,28.96,5.89,47.42," 56,638 ",917,130,120,39,11,3,1,1,5
Khyber ,Population,"633,321","580,086","1,213,407","2,576",471.04,6.8,5.75,19.85,18.64,3.95,51.82," 100,968 ",790,87,84,19,9,1,1,1,3
Kohat,Population,"666,472","640,506","1,306,978","2,991",436.97,7.2,30.49,38.41,7.45,1.79,21.87," 111,155 ",598,87,51,6,6,0,0,1,2
