Districts,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str,Hospitals,Dispensaries,RHCs,BHUs,TB Clinics,SHC,MCH,Trauma,Total,National Highways,Motorway,Roads,Total
Attock,Population,"1,157,386","1,147,000","2,304,386","6,857",336.06,6.1,40,38,12,1,9,"248,805",7,8,6,58,-,2,5,-,86,0,175,2331,2506
Bahawalnagar,Population,"1,960,300","1,810,300","3,770,600","8,878",424.71,6.3,11,56,11,1,21,"415,712",6,29,10,104,-,27,9,-,185,0,0,3762,3762
Bahawalpur,Population,"2,310,500","2,240,300","4,550,800","24,830",183.28,6.3,9,65,2,1,23,"510,836",12,70,13,78,2,-,10,-,185,77,47,3143,3267
Bhakkar,Population,"1,079,700","999,500","2,079,200","8,153",255.02,6.2,3,70,4,1,23,"250,386",5,29,6,40,-,13,2,-,95,108,0,2671,2779
Chakwal,Population,"917,900","924,800","1,842,700","6,525",282.41,6.0,23,60,7,1,9,"237,871",6,16,11,68,-,-,6,-,107,109,68,2440,2617
Chiniot,Population,"840,100","820,100","1,660,200","2,643",628.15,6.0,6,67,11,1,15,"185,184",3,12,4,39,1,-,2,-,61,0,0,1327,1327
Dera Ghazi Khan,Population,"1,820,000","1,785,500","3,605,500","11,922",302.42,7.4,4,46,6,2,42,"313,507",7,23,10,55,-,-,5,2,102,299,0,1882,2181
Faisalabad,Population,"5,027,000","4,613,000","9,640,000","5,857",1645.89,6.5,20,64,10,0,5,"1,002,977",21,122,18,172,-,7,6,-,346,0,161,2457,2618
Gujranwala,Population,"3,217,000","3,113,000","6,330,000","3,622",1747.65,7.0,61,15,19,0,4,"632,759",12,61,16,99,1,32,10,-,231,74,32,2755,2861
Gujrat,Population,"1,708,500","1,711,000","3,419,500","3,192",1071.27,6.5,48,31,16,1,4,"379,499",15,5,10,89,-,-,10,1,130,61,0,3470,3531
Hafizabad,Population,"712,000","690,300","1,402,300","2,367",592.44,6.6,21,47,25,0,7,"156,428",3,16,8,33,1,-,4,-,65,0,62,1689,1751
Jhelum,Population,"747,500","720,800","1,468,300","3,587",409.34,6.0,36,43,16,1,5,"173,501",6,26,7,48,-,-,6,-,93,0,62,2158,2220
Jhang,Population,"1,684,500","1,572,000","3,256,500","6,166",528.14,6.2,4,74,5,1,17,"382,076",8,75,10,62,1,-,2,1,159,50,31,1339,1420
Kasur,Population,"2,217,000","2,121,000","4,338,000","3,995",1085.86,6.3,21,57,13,1,7,"462,333",8,32,14,82,1,-,8,1,146,49,0,2840,2889
Khanewal,Population,"1,842,500","1,730,500","3,573,000","4,349",821.57,6.3,6,73,3,1,17,"416,337",7,9,9,81,-,-,4,-,110,121,74,2638,2833
Khushab,Population,"837,000","778,500","1,615,500","6,511",248.12,6.0,5,60,23,1,11,"190,710",6,30,5,44,-,-,7,-,92,0,0,2167,2167
Lahore,Population,"7,312,000","6,565,000","13,877,000","1,772",7831.26,6.4,77,17,3,0,3,"1,158,614",50,107,12,43,21,-,50,2,285,53,13,1262,1328
Layyah,Population,"1,150,300","1,083,000","2,233,300","6,289",355.11,6.1,3,73,3,1,20,"262,159",8,34,6,36,-,13,2,-,99,58,0,2668,2726
Lodhran,Population,"1,060,000","988,300","2,048,300","2,778",737.33,5.9,5,74,3,1,18,"243,265",5,15,5,48,-,-,1,1,75,87,0,997,1084
Mandi Bahauddin,Population,"974,500","969,000","1,943,500","2,673",727.09,6.3,24,47,25,0,4,"223,099",7,6,11,48,-,-,3,-,75,0,0,2134,2134
Mianwali,Population,"975,300","935,000","1,910,300","5,840",327.11,6.0,5,67,16,1,11,"214,400",6,22,11,43,-,-,2,-,84,85,106,2048,2239
Multan,Population,"2,901,000","2,795,000","5,696,000","3,720",1531.18,6.0,22,53,6,1,18,"644,721",20,47,11,84,-,-,20,-,182,82,121,2390,2593
Muzaffargarh,Population,"2,707,000","2,621,000","5,328,000","8,249",645.90,6.2,3,58,5,2,32,"625,173",6,43,14,76,-,-,5,-,144,120,0,2213,2333
Nankana Sahib,Population,"884,000","852,700","1,736,700","2,216",783.71,6.6,13,54,24,1,8,"187,428",4,25,9,49,-,-,4,-,91,0,41,1951,1992
Narowal,Population,"1,058,300","1,013,700","2,072,000","2,337",886.61,6.9,31,46,17,1,6,"228,600",3,8,7,57,1,-,4,-,80,0,0,1295,1295
Okara,Population,"1,901,500","1,833,500","3,735,000","4,377",853.32,6.3,12,68,8,1,11,"412,544",8,29,11,96,1,-,11,1,157,50,0,2536,2586
Pakpattan,Population,"1,153,000","1,115,800","2,268,800","2,724",832.89,6.1,6,73,4,0,16,"259,380",4,12,6,55,1,8,2,-,88,0,0,1443,1443
Rahim Yar Khan,Population,"3,077,000","2,833,000","5,910,000","11,880",497.47,6.7,6,65,2,2,25,"619,323",6,65,20,109,2,-,8,-,210,167,143,4120,4430
Rajanpur,Population,"1,284,500","1,244,500","2,529,000","12,318",205.31,6.7,2,40,4,6,48,"239,619",5,14,7,32,-,-,-,-,58,194,0,1228,1422
Rawalpindi,Population,"3,304,000","3,194,000","6,498,000","5,285",1229.52,6.1,64,29,2,0,5,"586,829",15,10,6,87,-,-,8,-,126,186,76,3510,3772
Sahiwal,Population,"1,551,000","1,509,000","3,060,000","3,201",955.95,6.4,9,78,5,1,8,"343,085",9,26,13,76,-,18,6,-,148,98,0,1376,1474
Sargodha,Population,"2,331,000","2,273,000","4,604,000","5,856",786.20,6.3,13,51,29,1,7,"512,912",17,16,13,132,1,-,8,-,187,0,72,5671,5743
Sheikhupura,Population,"2,209,000","2,092,000","4,301,000","3,744",1148.77,6.8,42,34,18,1,5,"440,832",11,52,9,84,-,-,15,-,171,24,119,1602,1745
