Sindh,Population,Male,Female,Total,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Brick Masonry,Block Masonry,Stone Masonry,Timber,Adobe,Total Str
Badin,Population,"1,076,800","993,600",2070400,"6,858",302,4.8,4.51,18.44,4.3,49.73,23.02," 320,712 "
Dadu,Population,"940,300","913,000",1853300,"7,866",236,5.1,1.87,34.92,5.34,10.69,47.18," 267,597 "
Ghotki,Population,"979,500","907,000",1886500,"6,083",310,5.3,2.59,51.73,3.63,11.87,30.18," 261,773 "
Hyderabad,Population,"989,300","1,216,300",2205600,993,2221,5.4,61.4,23.76,3.26,3.52,8.06," 314,536 "
Jacobabad,Population,"634,200","615,200",1249400,"2,698",463,6,2.52,28.73,9.72,22.33,36.7," 136,771 "
Jamshoro,Population,"615,500","573,800",1189300,"11,204",106,5.2,12.06,45.12,3.15,12.99,26.69," 153,516 "
Qambar Shahdadkot,Population,"842,000","770,000",1612000,"5,475",294,5.6,1.91,33.96,11.53,11.48,41.13," 200,119 "
Central Karachi,Population,"2,145,000","1,916,000",4061000,69,58855,5.8,79.16,18.33,0.09,0.18,2.23," 311,451 "
East Karachi,Population,"2,206,000","1,970,000",4176000,139,30043,5.9,75.15,20.6,0.33,0.45,3.48," 292,062 "
South Karachi,Population,"1,293,000","1,119,000",2412000,122,19770,5.4,82.69,13.69,0.26,0.12,3.24," 176,727 "
West Karachi,Population,"1,233,000","1,344,000",2577000,370,6965,5.7,41.55,52.26,0.35,0.68,5.16," 388,176 "
Keamari,Population,"1,172,000","1,029,000",2201000,559,3937,6.4,41.55,52.26,0.35,0.68,5.16," 270,469 "
Kashmore,Population,"668,000","644,500",1312500,"2,580",509,5.9,1.92,34.24,5.63,25.55,32.67," 152,541 "
Khairpur,Population,"1,401,000","1,368,000",2769000,"15,910",174,5.7,1.7,38.82,2.5,13.79,43.2," 373,968 "
Korangi,Population,"1,757,000","1,865,000",3622000,108,33537,6.3,72.4,24.26,0.15,0.21,2.97," 265,878 "
Larkana,Population,"992,500","1,226,000",2218500,"1,948",1139,5.5,2.71,40.35,6.33,7.55,43.07," 230,286 "
Malir,Population,"1,306,000","1,216,000",2522000,"2,160",1168,5.7,44.63,44.86,0.79,2.68,7.03," 204,678 "
Matiari,Population,"467,000","486,000",953000,"1,417",673,5.3,6.01,52.74,3.9,10.37,26.98," 116,401 "
Mirpur Khas,Population,"938,500","849,500",1788000,"2,925",611,5.3,14.65,28.63,8.2,19.47,29.05," 190,521 "
Naushahro Feroze,Population,"960,500","931,000",1891500,"2,946",642,5.5,2.85,41.6,2.39,9.34,43.83," 253,444 "
Sanghar,Population,"1,248,000","1,308,000",2556000,"10,728",238,5.6,7.78,39.02,7.59,21.33,24.27," 280,469 "
Shaheed Benazir Abad,Population,"996,500","966,000",1962500,"4,502",436,5.5,6.23,38.98,4.14,11.1,39.55," 247,247 "
Shikarpur,Population,"745,500","730,000",1475500,"2,512",587,6.4,1.73,30.17,4.86,14.76,48.49," 181,780 "
Sujawal,Population,"465,000","481,000",946000,"8,785",108,5.2,5.71,9.75,1.84,63.27,19.42," 145,089 "
Sukkur,Population,"925,500","818,500",1744000,"5,165",338,6.1,6.56,46.58,2.06,13.74,31.05," 224,167 "
Tando Allahyar,Population,"498,500","482,000",980500,"1,554",631,5.1,9.45,44.12,7,11.23,28.2," 119,065 "
Tando Muhammad Khan,Population,"400,500","460,000",860500,"1,423",605,5,6.59,28.44,5.94,29.27,29.76," 114,644 "
Tharparkar,Population,"987,000","905,000",1892000,"19,637",96,5.4,0.37,15.73,2.69,14.28,66.93," 294,344 "
Thatta,Population,"591,000","561,500",1152500,"8,570",134,5.2,9.64,22.21,1.88,49.33,16.95," 166,662 "
Umer Kot,Population,"645,500","563,000",1208500,"5,608",215,5.2,2.66,29.64,2.77,19.14,45.8," 150,365 "
