Province,Districts,Projected Population Male,Projected Population Female,Projected Total Population,Area,DENSITY /SQ.K.M,AVR H.H SIZE,Pakka,Semi_Pakka,Kacha,Built_Less_Than_7_Years,Built_7_to_12_Years,Built_12_to_22_Years,Built_22_to_52_Years,Built_Over_52_Years
Islamabad,Islamabad,"1,334,300","1,193,700","2,528,000",906,"2,790.29",5.7,"402,895","7,780","5,910","46,642","101,036","137,549","100,241","19,933"
Balochistan,Awaran,"98,899","94,234","193,133","29,510",6.54,6.4,4055,4211,20650,5414,8750,7876,3422,1214
Balochistan,Barkhan,"118,307","108,587","226,894","3,514",64.57,9.1,1563,2515,19491,2839,4336,6644,6119,2599
Balochistan,Chagai,"151,010","139,504","290,514","44,748",6.49,7.0,3974,1855,33576,4311,8434,14160,8439,1678
Balochistan,Dera Bugti,"210,004","173,410","383,414","10,160",37.74,5.7,11933,6779,48531,19208,16157,14169,6415,1343
Balochistan,Gwadar,"173,510","155,821","329,331","12,637",26.06,6.0,26521,8805,16293,6562,11964,16525,9951,4093
Balochistan,Harnai,"72,702","64,974","137,676","2,492",55.25,7.7,3079,2071,12021,2423,2268,3563,4403,2959
Balochistan,Jaffarabad,"325,253","316,399","641,652","1,643",390.54,7.2,23922,14929,56109,21743,16949,18572,8952,1949
Balochistan,Jhal Magsi,"111,628","107,848","219,476","3,615",60.71,6.5,3095,4824,27266,8138,7856,6464,3637,627
Balochistan,Kachhi,"252,122","225,615","477,737","5,682",84.08,8.8,7145,8657,39564,6927,8815,11641,9882,7433
Balochistan,Kalat,"149,598","143,472","293,070","7,654",38.29,8.2,2950,3871,28598,4278,6232,8915,7285,4074
Balochistan,Kech,"599,329","545,635","1,144,964","22,539",50.80,4.1,58180,66273,154732,71496,61108,57533,27728,9901
Balochistan,Kharan,"150,772","130,202","280,974","14,958",18.78,7.2,2291,3625,31515,7031,9759,10941,5578,946
Balochistan,Khuzdar,"579,909","496,292","1,076,201","35,380",30.42,6.1,19970,24030,126804,31283,37907,44590,29639,8677
