Province,Division,District,Tehsil,Projected Population,Pakka,Semi_Pakka,Kacha,Built_Less_Than_7_Years,Built_7_to_12_Years,Built_12_to_22_Years,Built_22_to_52_Years,Built_Over_52_Years
ISLAMABAD ,FEDERAL CAPITAL AREA,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,2515800,402895,7780,5910,46642,101036,137549,100241,19933
BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,51109,1782,1333,3462,1483,2146,1646,913,178
BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,35129,635,735,4943,1575,2559,1598,311,26
BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,JHAL JAO TEHSIL,31411,135,607,3306,738,1101,1310,638,146
BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,KORAK JHAO TEHSIL,30875,250,710,3582,394,741,1493,897,446
BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,51292,1255,828,5357,1224,2203,1829,663,418
BALOCHISTAN,KALAT DIVISION,KALAT DISTRICT,GAZG SUB-TEHSIL,9252,113,134,1247,286,229,283,185,72
BALOCHISTAN,KALAT DIVISION,KALAT DISTRICT,JOHAN SUB-TEHSIL,17564,81,222,2333,486,580,744,448,79
BALOCHISTAN,KALAT DIVISION,KALAT DISTRICT,KALAT SUB-DIVISION,186916,2383,2650,16537,2415,4011,5119,4441,2692
BALOCHISTAN,KALAT DIVISION,KALAT DISTRICT,MANGOCHAR SUB-DIVISION,89478,374,866,8481,1091,1412,2769,2211,1231
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,56423,597,1077,9336,1439,2532,2891,1595,558
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,GRESHA SUB-TEHSIL,77785,352,1438,8698,2335,3015,2388,1280,334
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,KARAKH SUB-DIVISION,40185,631,1793,5065,919,1690,1987,922,439
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,KHUZDAR SUB-DIVISION,401242,13376,9501,35272,7962,10949,16491,12314,3037
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,36499,160,1092,3080,529,965,1251,959,136
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,NAL SUB-DIVISION,115709,721,1439,13365,2709,3877,4281,3332,842
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,ORNACH SUB-DIVISION,46684,447,857,12276,4585,3409,2532,1366,685
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,40620,310,401,5877,1251,1164,1676,1778,503
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,WADH SUB-DIVISION,129776,1727,1785,19078,4422,4891,6622,3756,1264
BALOCHISTAN,KALAT DIVISION,KHUZDAR DISTRICT,ZEHRI SUB-DIVISION,168519,1651,4649,14757,5132,5415,4471,2337,879
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,BELA SUB-DIVISION,144330,4686,9230,6242,3060,5483,6569,3454,889
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,DUREJI SUB-DIVISION,58324,2218,1146,6824,1541,2721,3179,1555,832
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,GADDANI TEHSIL,32620,4174,875,1563,458,1448,2495,1626,517
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,HUB SUB-DIVISION,260651,28426,7618,2490,6213,10467,14173,6271,331
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,KANRAJ SUB-DIVISION,17860,164,63,2523,524,766,1033,341,31
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,LAKHRA TEHSIL,52192,769,4592,2177,1487,2708,2004,953,67
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,LIARI SUB-TEHSIL,18975,680,467,1502,504,704,602,274,446
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,75915,9951,1069,3756,3844,3903,4225,1560,65
BALOCHISTAN,KALAT DIVISION,LASBELA DISTRICT,UTHAL SUB-DIVISION,99298,5804,2475,6461,2228,3378,5231,2484,495
BALOCHISTAN,KALAT DIVISION,MASTUNG DISTRICT,DASHT SUB-DIVISION,75803,1108,1736,7606,752,1789,2528,3874,1067
BALOCHISTAN,KALAT DIVISION,MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,51673,249,906,5043,346,980,2117,1457,811
BALOCHISTAN,KALAT DIVISION,MASTUNG DISTRICT,KIRDGAP SUB-DIVISION,40596,96,580,4396,194,457,1469,1679,1178
BALOCHISTAN,KALAT DIVISION,MASTUNG DISTRICT,MASTUNG SUB-DIVISION,180715,2750,7565,12698,2669,3472,6089,7056,2676
BALOCHISTAN,KALAT DIVISION,SURAB DISTRICT,DASHT E GORAN SUB-DIVISION,30709,116,264,3111,1222,858,704,221,87
BALOCHISTAN,KALAT DIVISION,SURAB DISTRICT,GIDDER SUB-DIVISION,100078,1101,1667,18619,3801,5284,5598,2108,657
BALOCHISTAN,KALAT DIVISION,SURAB DISTRICT,SHAHEED MEHARABAD ZEHRI SUB-DIVISION,74178,637,1247,12360,2343,2552,3167,2895,1060
BALOCHISTAN,KALAT DIVISION,SURAB DISTRICT,SURAB SUB-DIVISION,106596,1948,2527,12214,3347,3808,3772,2146,1016
BALOCHISTAN,LORALAI DIVISION,BARKHAN DISTRICT,BARKHAN TEHSIL,234754,1563,2515,19491,2839,4336,6644,6119,2599
BALOCHISTAN,LORALAI DIVISION,DUKI DISTRICT,DUKI SUB-DIVISION,153296,3410,5979,20367,3863,5249,7111,4902,2331
BALOCHISTAN,LORALAI DIVISION,DUKI DISTRICT,LUNI SUB-DIVISION,15202,409,490,2644,585,405,448,439,395
BALOCHISTAN,LORALAI DIVISION,DUKI DISTRICT,TALAO SUB-TEHSIL,24486,404,571,4733,644,1177,1974,543,466
BALOCHISTAN,LORALAI DIVISION,DUKI DISTRICT,THAL CHUTYALI SUB-DIVISION,35959,270,2308,6074,1155,1231,2037,1809,1696
BALOCHISTAN,LORALAI DIVISION,LORALAI DISTRICT,BORI SUB-DIVISION,248533,3815,5427,23306,3781,5154,8539,8392,3870
BALOCHISTAN,LORALAI DIVISION,LORALAI DISTRICT,MEKHTAR SUB-DIVISION,52226,392,384,6808,1446,1298,1833,1619,365
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,DRUG TEHSIL,24332,1116,2819,1372,888,824,1223,872,485
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,KINGRI TEHSIL,37536,556,1264,4712,451,1684,2154,1580,559
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,MUSAKHEL TEHSIL,55614,1122,1443,5550,921,1646,2199,1795,526
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,TIYAR ESSOT SUB-TEHSIL,11800,56,526,1222,601,423,404,171,58
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,TOISAR TEHSIL,63440,686,2758,5185,622,1496,2634,2083,1422
BALOCHISTAN,LORALAI DIVISION,MUSAKHEL DISTRICT,ZIMRI PLASEEN SUB-TEHSIL,10797,233,545,1769,196,421,463,520,251
BALOCHISTAN,MEKRAN DIVISION,GWADAR DISTRICT,GWADAR SUB-DIVISION,164885,16050,3746,5389,2442,4838,8228,5676,2698
BALOCHISTAN,MEKRAN DIVISION,GWADAR DISTRICT,JIWANI TEHSIL,39084,2906,485,1173,1102,1209,1363,556,47
BALOCHISTAN,MEKRAN DIVISION,GWADAR DISTRICT,ORMARA TEHSIL,28475,1627,1679,2297,337,1304,1896,1262,429
BALOCHISTAN,MEKRAN DIVISION,GWADAR DISTRICT,PASNI SUB-DIVISION,82768,5335,2597,5996,2278,3841,4287,2188,895
BALOCHISTAN,MEKRAN DIVISION,GWADAR DISTRICT,SUNTSER SUB-TEHSIL,22915,605,300,1438,403,772,751,269,24
BALOCHISTAN,MEKRAN DIVISION,KECH DISTRICT,BALNIGORE SUB-TEHSIL,56279,1694,3639,10266,3042,3592,4304,1911,330
BALOCHISTAN,MEKRAN DIVISION,KECH DISTRICT,BULAIDA SUB-DIVISION,120417,3430,3455,19311,6408,5450,6255,3147,1197
BALOCHISTAN,MEKRAN DIVISION,KECH DISTRICT,DASHT SUB-DIVISION,100579,2560,1779,19002,5161,4997,4964,1823,1880
