layer,workspace,store,title,geometry,crs,features,fields,types
district_Abbottabad,infra_portal,district_Abbottabad,district_Abbottabad,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Astore,infra_portal,district_Astore,district_Astore,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Attock,infra_portal,district_Attock,district_Attock,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Awaran,infra_portal,district_Awaran,district_Awaran,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Badin,infra_portal,district_Badin,district_Badin,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bagh,infra_portal,district_Bagh,district_Bagh,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bahawalnagar,infra_portal,district_Bahawalnagar,district_Bahawalnagar,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bahawalpur,infra_portal,district_Bahawalpur,district_Bahawalpur,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bahwalnagar,infra_portal,district_Bahwalnagar,district_Bahwalnagar,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bahwalpur,infra_portal,district_Bahwalpur,district_Bahwalpur,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bajaur,infra_portal,district_Bajaur,district_Bajaur,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bannu,infra_portal,district_Bannu,district_Bannu,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Barkhan,infra_portal,district_Barkhan,district_Barkhan,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Batagram,infra_portal,district_Batagram,district_Batagram,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bhakkar,infra_portal,district_Bhakkar,district_Bhakkar,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Bhimber,infra_portal,district_Bhimber,district_Bhimber,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Buner,infra_portal,district_Buner,district_Buner,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Central Karachi,infra_portal,district_Central Karachi,district_Central Karachi,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Chagai,infra_portal,district_Chagai,district_Chagai,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Chakwal,infra_portal,district_Chakwal,district_Chakwal,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Chaman,infra_portal,district_Chaman,district_Chaman,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Charsadda,infra_portal,district_Charsadda,district_Charsadda,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Chiniot,infra_portal,district_Chiniot,district_Chiniot,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Chitral,infra_portal,district_Chitral,district_Chitral,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Dadu,infra_portal,district_Dadu,district_Dadu,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Darel,infra_portal,district_Darel,district_Darel,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Dera Bugti,infra_portal,district_Dera Bugti,district_Dera Bugti,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
